,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
577.5,5627,0,0,1876,1876,,375200
578.5,5455,0,0,1818,1818,,363600
579.5,5283,0,0,1761,1761,,352200
580.5,5111,0,0,1704,1704,,340800
581.5,4938,0,0,1646,1646,,329200
582.5,4767,0,0,1589,1589,,317800
583.5,4595,0,0,1532,1532,,306400
584.5,4425,0,0,1475,1475,,295000
585.5,4257,0,0,1419,1419,,283800
586.5,4090,0,0,1363,1363,,272600
587.5,3925,0,0,1308,1308,,261600
588.5,3762,0,0,1254,1254,,250800
589.5,3602,0,0,1201,1201,,240200
590.5,3445,0,0,1148,1148,,229600
591.5,3290,0,0,1097,1097,,219400
592.5,3139,0,0,1046,1046,,209200
593.5,2991,0,0,997,997,,199400
594.5,2846,0,0,949,949,,189800
595.5,2705,0,0,902,902,,180400
596.5,2568,0,0,856,856,,171200
597.5,2435,0,0,812,812,,162400
598.5,2306,0,0,769,769,,153800
599.5,2181,0,0,727,727,,145400
600.5,2061,0,0,687,687,,137400
601.5,1944,0,0,648,648,,129600
602.5,1832,0,0,611,611,,122200
603.5,1724,0,0,575,575,,115000
604.5,1620,0,0,540,540,,108000
605.5,1521,0,0,507,507,,101400
606.5,1426,0,0,475,475,,95000
607.5,1335,0,0,445,445,,89000
608.5,1248,0,0,416,416,,83200
609.5,1166,0,0,389,389,,77800
610.5,1087,0,0,362,362,,72400
611.5,1013,0,0,338,338,,67600
612.5,942,0,0,314,314,,62800
613.5,875,0,0,292,292,,58400
614.5,812,0,0,271,271,,54200
615.5,752,0,0,251,251,,50200
616.5,696,0,0,232,232,,46400
617.5,643,0,0,214,214,,42800
618.5,594,0,0,198,198,,39600
619.5,547,0,0,182,182,,36400
620.5,504,0,0,168,168,,33600
621.5,463,0,0,154,154,,30800
622.5,425,0,0,142,142,,28400
623.5,390,0,0,130,130,,26000
624.5,357,0,0,119,119,,23800
625.5,326,0,0,109,109,,21800
626.5,298,0,0,99,99,,19800
627.5,271,0,0,90,90,,18000
628.5,247,0,0,82,82,,16400
629.5,225,0,0,75,75,,15000
630.5,204,0,0,68,68,,13600
631.5,185,0,0,62,62,,12400
632.5,168,0,0,56,56,,11200
633.5,152,0,0,51,51,,10200
634.5,137,0,0,46,46,,9200
635.5,123,0,0,41,41,,8200
636.5,111,0,0,37,37,,7400
637.5,100,0,0,33,33,,6600
638.5,90,0,0,30,30,,6000
639.5,81,0,0,27,27,,5400
640.5,72,0,0,24,24,,4800
641.5,65,0,0,22,22,,4400
642.5,58,0,0,19,19,,3800
643.5,51,0,0,17,17,,3400
644.5,46,0,0,15,15,,3000
645.5,41,0,0,14,14,,2800
646.5,36,0,0,12,12,,2400
647.5,32,0,0,11,11,,2200
648.5,28,0,0,9,9,,1800
649.5,25,0,0,8,8,,1600
650.5,22,0,0,7,7,,1400
651.5,20,0,0,7,7,,1400
652.5,17,0,0,6,6,,1200
653.5,15,0,0,5,5,,1000
654.5,13,0,0,4,4,,800
655.5,12,0,0,4,4,,800
656.5,10,0,0,3,3,,600
657.5,9,0,0,3,3,,600
658.5,8,0,0,3,3,,600
659.5,7,0,0,2,2,,400
660.5,6,0,0,2,2,,400
661.5,5,0,0,2,2,,400
662.5,5,0,0,2,2,,400
663.5,4,0,0,1,1,,200
664.5,3,0,0,1,1,,200
665.5,3,0,0,0,0,,0
666.5,3,0,0,0,0,,0
667.5,2,0,0,0,0,,0
668.5,2,0,0,0,0,,0
669.5,2,0,0,0,0,,0
670.5,1,0,0,0,0,,0
671.5,1,0,0,0,0,,0
672.5,1,0,0,0,0,,0
673.5,0,0,0,0,0,,0
674.5,0,0,0,0,0,,0
675.5,0,0,0,0,0,,0
676.5,0,0,0,0,0,,0
677.5,0,0,0,0,0,,0
678.5,0,0,0,0,0,,0
679.5,0,0,0,0,0,,0
680.5,0,0,0,0,0,,0
681.5,0,0,0,0,0,,0
682.5,0,0,0,0,0,,0
683.5,0,0,0,0,0,,0
684.5,0,0,0,0,0,,0
685.5,0,0,0,0,0,,0
686.5,0,0,0,0,0,,0
687.5,0,0,0,0,0,,0
688.5,0,0,0,0,0,,0
689.5,0,0,0,0,0,,0
690.5,0,0,0,0,0,,0
691.5,0,0,0,0,0,,0
692.5,0,0,0,0,0,,0
693.5,0,0,0,0,0,,0
694.5,0,0,0,0,0,,0
695.5,0,0,0,0,0,,0
696.5,0,0,0,0,0,,0
697.5,0,0,0,0,0,,0
698.5,0,0,0,0,0,,0
699.5,0,0,0,0,0,,0
700.5,0,0,0,0,0,,0
701.5,0,0,0,0,0,,0
702.5,0,0,0,0,0,,0
703.5,0,0,0,0,0,,0
704.5,0,0,0,0,0,,0
705.5,0,0,0,0,0,,0
706.5,0,0,0,0,0,,0
707.5,0,0,0,0,0,,0
708.5,0,0,0,0,0,,0
709.5,0,0,0,0,0,,0
710.5,0,0,0,0,0,,0
711.5,0,0,0,0,0,,0
712.5,0,0,0,0,0,,0
713.5,0,0,0,0,0,,0
714.5,0,0,0,0,0,,0
715.5,0,0,0,0,0,,0
716.5,0,0,0,0,0,,0
717.5,0,0,0,0,0,,0
718.5,0,0,0,0,0,,0
719.5,0,0,0,0,0,,0
720.5,0,0,0,0,0,,0
721.5,0,0,0,0,0,,0
722.5,0,0,0,0,0,,0
723.5,0,0,0,0,0,,0
724.5,0,0,0,0,0,,0
725.5,0,0,0,0,0,,0
726.5,0,0,0,0,0,,0
727.5,0,0,0,0,0,,0
728.5,0,0,0,0,0,,0
729.5,0,0,0,0,0,,0
730.5,0,0,0,0,0,,0
731.5,0,0,0,0,0,,0
732.5,0,0,0,0,0,,0
733.5,0,0,0,0,0,,0
734.5,0,0,0,0,0,,0
735.5,0,0,0,0,0,,0
736.5,0,0,0,0,0,,0
737.5,0,0,0,0,0,,0
738.5,0,0,0,0,0,,0
739.5,0,0,0,0,0,,0
740.5,0,0,0,0,0,,0
741.5,0,0,0,0,0,,0
742.5,0,0,0,0,0,,0
743.5,0,0,0,0,0,,0
744.5,0,0,0,0,0,,0
745.5,0,0,0,0,0,,0
746.5,0,0,0,0,0,,0
747.5,0,0,0,0,0,,0
748.5,0,0,0,0,0,,0
749.5,0,0,0,0,0,,0
750.5,0,0,0,0,0,,0
751.5,0,0,0,0,0,,0
752.5,0,0,0,0,0,,0
753.5,0,0,0,0,0,,0
754.5,0,0,0,0,0,,0
755.5,0,0,0,0,0,,0
756.5,0,0,0,0,0,,0
757.5,0,0,0,0,0,,0
758.5,0,0,0,0,0,,0
759.5,0,0,0,0,0,,0
760.5,0,0,0,0,0,,0
761.5,0,0,0,0,0,,0
762.5,0,0,0,0,0,,0
763.5,0,0,0,0,0,,0
764.5,0,0,0,0,0,,0
765.5,0,0,0,0,0,,0
766.5,0,0,0,0,0,,0
767.5,0,0,0,0,0,,0
768.5,0,0,0,0,0,,0
769.5,0,0,0,0,0,,0
770.5,0,0,0,0,0,,0
771.5,0,0,0,0,0,,0
772.5,0,0,0,0,0,,0
773.5,0,0,0,0,0,,0
774.5,0,0,0,0,0,,0
775.5,0,0,0,0,0,,0
776.5,0,0,0,0,0,,0
777.5,0,0,0,0,0,,0
778.5,0,0,0,0,0,,0
779.5,0,0,0,0,0,,0
780.5,0,0,0,0,0,,0
781.5,0,0,0,0,0,,0
782.5,0,0,0,0,0,,0
783.5,0,0,0,0,0,,0
784.5,0,0,0,0,0,,0
785.5,0,0,0,0,0,,0
786.5,0,0,0,0,0,,0
787.5,0,0,0,0,0,,0
788.5,0,0,0,0,0,,0
789.5,0,0,0,0,0,,0
790.5,0,0,0,0,0,,0
791.5,0,0,0,0,0,,0
792.5,0,0,0,0,0,,0
793.5,0,0,0,0,0,,0
794.5,0,0,0,0,0,,0
795.5,0,0,0,0,0,,0
796.5,0,0,0,0,0,,0
797.5,0,0,0,0,0,,0
798.5,0,0,0,0,0,,0
799.5,0,0,0,0,0,,0
800.5,0,0,0,0,0,,0
801.5,0,0,0,0,0,,0
802.5,0,0,0,0,0,,0
803.5,0,0,0,0,0,,0
804.5,0,0,0,0,0,,0
805.5,0,0,0,0,0,,0
806.5,0,0,0,0,0,,0
807.5,0,0,0,0,0,,0
808.5,0,0,0,0,0,,0
809.5,0,0,0,0,0,,0
810.5,0,0,0,0,0,,0
811.5,0,0,0,0,0,,0
812.5,0,0,0,0,0,,0
813.5,0,0,0,0,0,,0
814.5,0,0,0,0,0,,0
815.5,0,0,0,0,0,,0
816.5,0,0,0,0,0,,0
817.5,0,0,0,0,0,,0
818.5,0,0,0,0,0,,0
819.5,0,0,0,0,0,,0
820.5,0,0,0,0,0,,0
821.5,0,0,0,0,0,,0
822.5,0,0,0,0,0,,0
823.5,0,0,0,0,0,,0
824.5,0,0,0,0,0,,0
825.5,0,0,0,0,0,,0
826.5,0,0,0,0,0,,0
827.5,0,0,0,0,0,,0
828.5,0,0,0,0,0,,0
829.5,0,0,0,0,0,,0
830.5,0,0,0,0,0,,0
831.5,0,0,0,0,0,,0
832.5,0,0,0,0,0,,0
833.5,0,0,0,0,0,,0
834.5,0,0,0,0,0,,0
835.5,0,0,0,0,0,,0
836.5,0,0,0,0,0,,0
837.5,0,0,0,0,0,,0
838.5,0,0,0,0,0,,0
839.5,0,0,0,0,0,,0
840.5,0,0,0,0,0,,0
841.5,0,0,0,0,0,,0
842.5,0,0,0,0,0,,0
843.5,0,0,0,0,0,,0
844.5,0,0,0,0,0,,0
845.5,0,0,0,0,0,,0
846.5,0,0,0,0,0,,0
847.5,0,0,0,0,0,,0
848.5,0,0,0,0,0,,0
849.5,0,0,0,0,0,,0
850.5,0,0,0,0,0,,0
851.5,0,0,0,0,0,,0
852.5,0,0,0,0,0,,0
853.5,0,0,0,0,0,,0
854.5,0,0,0,0,0,,0
855.5,0,0,0,0,0,,0
856.5,0,0,0,0,0,,0
857.5,0,0,0,0,0,,0
858.5,0,0,0,0,0,,0
859.5,0,0,0,0,0,,0
860.5,0,0,0,0,0,,0
861.5,0,0,0,0,0,,0
862.5,0,0,0,0,0,,0
863.5,0,0,0,0,0,,0
864.5,0,0,0,0,0,,0
865.5,0,0,0,0,0,,0
866.5,0,0,0,0,0,,0
867.5,0,0,0,0,0,,0
868.5,0,0,0,0,0,,0
869.5,0,0,0,0,0,,0
870.5,0,0,0,0,0,,0
871.5,0,0,0,0,0,,0
872.5,0,0,0,0,0,,0
873.5,0,0,0,0,0,,0
874.5,0,0,0,0,0,,0
875.5,0,0,0,0,0,,0
876.5,0,0,0,0,0,,0
877.5,0,0,0,0,0,,0
878.5,0,0,0,0,0,,0
879.5,0,0,0,0,0,,0
880.5,0,0,0,0,0,,0
881.5,0,0,0,0,0,,0
882.5,0,0,0,0,0,,0
883.5,0,0,0,0,0,,0
884.5,0,0,0,0,0,,0
885.5,0,0,0,0,0,,0
886.5,0,0,0,0,0,,0
887.5,0,0,0,0,0,,0
888.5,0,0,0,0,0,,0
889.5,0,0,0,0,0,,0
890.5,0,0,0,0,0,,0
891.5,0,0,0,0,0,,0
892.5,0,0,0,0,0,,0
893.5,0,0,0,0,0,,0
894.5,0,0,0,0,0,,0
895.5,0,0,0,0,0,,0
896.5,0,0,0,0,0,,0
897.5,0,0,0,0,0,,0
898.5,0,0,0,0,0,,0
899.5,0,0,0,0,0,,0
900.5,0,0,0,0,0,,0
901.5,0,0,0,0,0,,0
902.5,0,0,0,0,0,,0
903.5,0,0,0,0,0,,0
904.5,0,0,0,0,0,,0
905.5,0,0,0,0,0,,0
906.5,0,0,0,0,0,,0
907.5,0,0,0,0,0,,0
908.5,0,0,0,0,0,,0
909.5,0,0,0,0,0,,0
910.5,0,0,0,0,0,,0
911.5,0,0,0,0,0,,0
912.5,0,0,0,0,0,,0
913.5,0,0,0,0,0,,0
914.5,0,0,0,0,0,,0
915.5,0,0,0,0,0,,0
916.5,0,0,0,0,0,,0
917.5,0,0,0,0,0,,0
918.5,0,0,0,0,0,,0
919.5,0,0,0,0,0,,0
920.5,0,0,0,0,0,,0
921.5,0,0,0,0,0,,0
922.5,0,0,0,0,0,,0
923.5,0,0,0,0,0,,0
924.5,0,0,0,0,0,,0
925.5,0,0,0,0,0,,0
926.5,0,0,0,0,0,,0
927.5,0,0,0,0,0,,0
928.5,0,0,0,0,0,,0
929.5,0,0,0,0,0,,0
930.5,0,0,0,0,0,,0
931.5,0,0,0,0,0,,0
932.5,0,0,0,0,0,,0
933.5,0,0,0,0,0,,0
934.5,0,0,0,0,0,,0
935.5,0,0,0,0,0,,0
936.5,0,0,0,0,0,,0
937.5,0,0,0,0,0,,0
938.5,0,0,0,0,0,,0
939.5,0,0,0,0,0,,0
940.5,0,0,0,0,0,,0
941.5,0,0,0,0,0,,0
942.5,0,0,0,0,0,,0
943.5,0,0,0,0,0,,0
944.5,0,0,0,0,0,,0
945.5,0,0,0,0,0,,0
946.5,0,0,0,0,0,,0
947.5,0,0,0,0,0,,0
948.5,0,0,0,0,0,,0
949.5,0,0,0,0,0,,0
950.5,0,0,0,0,0,,0
951.5,0,0,0,0,0,,0
952.5,0,0,0,0,0,,0
953.5,0,0,0,0,0,,0
954.5,0,0,0,0,0,,0
955.5,0,0,0,0,0,,0
956.5,0,0,0,0,0,,0
957.5,0,0,0,0,0,,0
958.5,0,0,0,0,0,,0
959.5,0,0,0,0,0,,0
960.5,0,0,0,0,0,,0
961.5,0,0,0,0,0,,0
962.5,0,0,0,0,0,,0
963.5,0,0,0,0,0,,0
964.5,0,0,0,0,0,,0
965.5,0,0,0,0,0,,0
966.5,0,0,0,0,0,,0
967.5,0,0,0,0,0,,0
968.5,0,0,0,0,0,,0
969.5,0,0,0,0,0,,0
970.5,0,0,0,0,0,,0
971.5,0,0,0,0,0,,0
972.5,0,0,0,0,0,,0
973.5,0,0,0,0,0,,0
974.5,0,0,0,0,0,,0
975.5,0,0,0,0,0,,0
976.5,0,0,0,0,0,,0
977.5,0,0,0,0,0,,0
978.5,0,0,0,0,0,,0
979.5,0,0,0,0,0,,0
980.5,0,0,0,0,0,,0
981.5,0,0,0,0,0,,0
982.5,0,0,0,0,0,,0
983.5,0,0,0,0,0,,0
984.5,0,0,0,0,0,,0
985.5,0,0,0,0,0,,0
986.5,0,0,0,0,0,,0
987.5,0,0,0,0,0,,0
988.5,0,0,0,0,0,,0
989.5,0,0,0,0,0,,0
990.5,0,0,0,0,0,,0
991.5,0,0,0,0,0,,0
992.5,0,0,0,0,0,,0
993.5,0,0,0,0,0,,0
994.5,0,0,0,0,0,,0
995.5,0,0,0,0,0,,0
996.5,0,0,0,0,0,,0
997.5,0,0,0,0,0,,0
998.5,0,0,0,0,0,,0
999.5,0,0,0,0,0,,0
